AuthorId,Diet,Age
10000120E,Vegetarian,46
1000014D,Vegan,18
1000015A,Vegetarian,58
1000016E,Vegetarian,32
1000027E,Vegan,61
1000029E,Vegan,39
1000036C,Vegetarian,50
1000048E,Vegetarian,44
1000079B,Vegetarian,34
1000107C,Omnivore,62
100010C,Vegetarian,67
100014A,Vegetarian,54
1000162E,Omnivore,59
1000194E,Vegan,49
1000216B,Vegetarian,78
1000220D,Vegetarian,60
1000221A,Vegetarian,25
1000241D,Omnivore,31
1000253A,Vegetarian,67
1000257D,Omnivore,34
100026E,Omnivore,22
1000274E,Omnivore,55
1000280A,Vegan,29
10002A,Omnivore,64
1000312C,Vegetarian,79
1000315E,Omnivore,48
1000395C,Omnivore,76
1000396E,Vegetarian,79
1000399C,Vegetarian,58
100039D,Vegetarian,52
1000433B,Vegetarian,38
1000469D,Omnivore,53
1000475B,Vegetarian,52
1000480E,Omnivore,45
1000481B,Omnivore,42
1000497E,Omnivore,50
1000509D,Vegetarian,23
1000513E,Vegetarian,74
1000519A,Omnivore,41
1000536E,Omnivore,58
1000550C,Vegan,63
1000555A,Vegetarian,48
1000572D,Vegetarian,20
1000582E,Omnivore,43
1000590A,Omnivore,74
10005921B,Omnivore,42
1000601B,Vegetarian,19
1000609B,Vegetarian,30
1000625A,Vegetarian,22
1000627A,Vegetarian,74
1000646D,Vegan,49
1000664B,Vegetarian,40
100066B,Vegetarian,20
1000696B,Vegetarian,56
1000699E,Vegetarian,63
100069A,Omnivore,44
10007238C,Omnivore,76
1000727C,Vegan,59
1000735B,Vegetarian,18
100073B,Vegetarian,65
1000756B,Vegetarian,35
1000785A,Vegetarian,47
1000793C,Omnivore,61
1000826C,Omnivore,55
1000835C,Vegan,76
10008598D,Vegan,57
1000873D,Vegan,59
10008C,Vegetarian,30
1000928D,Vegetarian,42
1000940C,Vegetarian,51
100094E,Vegetarian,46
1000971C,Vegetarian,52
100098D,Vegetarian,45
1001005C,Vegetarian,55
1001007E,Omnivore,19
1001009D,Vegetarian,27
1001037E,Vegetarian,21
1001048E,Vegetarian,62
1001050B,Vegetarian,58
1001065E,Vegetarian,23
1001068E,Omnivore,50
1001075B,Vegetarian,35
1001078E,Vegan,69
1001084A,Vegan,33
1001134E,Omnivore,75
100113E,Vegetarian,55
100114E,Vegetarian,70
1001156C,Omnivore,54
1001170C,Vegetarian,57
1001194E,Omnivore,29
1001195A,Vegetarian,51
1001236D,Vegetarian,62
1001238A,Vegetarian,52
1001263E,Omnivore,51
1001264B,Vegetarian,55
100131A,Vegetarian,27
1001330A,Vegetarian,45
1001335E,Vegetarian,59
1001341D,Omnivore,35
1001352E,Vegan,56
100138C,Vegetarian,60
10013A,Omnivore,53
1001408B,Omnivore,53
1001414B,Vegan,51
1001417D,Vegan,31
1001444C,Omnivore,78
100145B,Vegan,41
1001462C,Vegan,35
1001473D,Vegetarian,27
100147A,Vegan,55
1001498C,Omnivore,26
100149D,Vegetarian,33
1001503A,Vegetarian,23
1001507E,Vegetarian,34
1001538B,Vegetarian,19
1001545B,Omnivore,30
1001556D,Vegetarian,36
100155A,Vegetarian,46
1001581B,Vegan,40
100158C,Omnivore,31
100159A,Vegetarian,18
1001601A,Omnivore,66
100160B,Vegetarian,40
1001617A,Omnivore,65
100162C,Omnivore,73
