AuthorId,RecipeId,Time,HighCalories,HighProtein,LowFat,LowSugar,HighFiber
2001012259B,73440,1799.9509492465252,0.0,Indifferent,0,0,0
437641B,365718,4201.820979884841,0.0,Yes,0,Indifferent,1
1803340263D,141757,6299.861496210848,0.0,Indifferent,1,Indifferent,0
854048B,280351,19801.365795854286,0.0,Yes,1,0,1
2277685E,180505,5400.093457126443,0.0,Indifferent,0,0,0
2002463647E,350271,1500.6906719090075,0.0,Indifferent,0,0,0
181611B,21518,3901.461811352835,1,Indifferent,0,Indifferent,1
63028B,137143,2699.849906710521,0.0,Indifferent,0,Indifferent,0
84090D,211563,4798.990136080004,1,Yes,1,0,1
935221A,29280,299.91032493004303,0.0,Indifferent,0,0,1
1398447B,57685,6300.010031722782,1,Indifferent,0,0,1
2001870109E,13148,2400.19673444548,0.0,Yes,0,0,0
2000234778D,87782,240.2737805009494,1,Indifferent,1,Indifferent,0
1266338A,117043,241.7088012829512,1,Yes,0,Indifferent,1
140202C,48153,602.0061578355707,1,Yes,0,0,1
2000320777A,83407,2099.0690780814743,1,Indifferent,0,Indifferent,1
1156918D,375021,1201.8680684277313,1,Indifferent,0,Indifferent,1
2022846A,139664,1200.9060660032635,1,Indifferent,0,0,1
2001261950B,157936,1798.2730803377865,1,Yes,0,0,0
1234111D,461793,92700.3278742002,0.0,Indifferent,0,0,0
2452430A,24618,5398.777101091325,0.0,Indifferent,0,Indifferent,1
2001985366C,270809,1800.9744615035645,0.0,Indifferent,0,Indifferent,1
2529226A,31008,4499.547043857944,0.0,Yes,1,0,0
2001509029C,84439,1200.1492381874375,1,Yes,0,0,0
2001180526B,348802,1200.881516308886,1,Yes,1,Indifferent,0
457141A,14190,1800.3288605662117,1,Yes,0,0,0
1802710711E,6867,3597.7985968158946,1,Yes,0,Indifferent,0
879902D,48401,8399.498047310692,0.0,Indifferent,0,0,1
29196B,37336,599.8901383619913,0.0,Yes,0,Indifferent,1
44589B,214804,1198.934932020025,1,Yes,0,0,0
2001613130E,143935,2400.480793942202,0.0,Yes,0,Indifferent,1
2002061544D,25990,300.96929761141666,0.0,Yes,1,Indifferent,0
149748B,28148,14699.160888241851,0.0,Yes,1,0,1
2001389054E,122290,2822.009331622175,1,Indifferent,0,Indifferent,0
1158906C,221280,2099.1852242837363,1,Indifferent,0,Indifferent,1
514750D,26756,2277.945351392566,1,Indifferent,0,Indifferent,0
366076D,18890,1498.8122930927198,0.0,Yes,0,0,0
1522331B,28556,2700.064556088859,0.0,Indifferent,0,0,0
369935B,90935,4799.932752513027,1,Indifferent,0,0,1
891885A,381726,605101.1276496913,0.0,Indifferent,0,0,0
1831783E,162015,2098.6335240522094,0.0,Yes,0,0,0
2002161877C,299587,5399.936004065035,1,Indifferent,1,0,1
1459539E,292220,3899.2110935603064,0.0,Yes,0,0,0
2000333540A,87295,3600.6236668231504,1,Indifferent,0,0,1
1296139A,360075,3599.633667235343,0.0,Indifferent,0,0,1
2002118378B,101619,2100.5084492142155,0.0,Indifferent,1,0,1
12866531A,49230,178.8294364224193,1,Indifferent,0,Indifferent,1
1374396B,138782,3301.1980923498218,1,Indifferent,0,0,0
1730072D,422827,2699.6701892033852,0.0,Yes,0,0,0
2002157358A,159967,1797.951908760267,1,Indifferent,0,0,0
2002541281D,113216,119.75528737118934,0.0,Yes,1,Indifferent,0
935221A,25343,3298.8504640635247,0.0,Yes,0,0,0
518537E,203946,3601.201284828991,0.0,Indifferent,0,0,0
2000455208C,55269,780.9763564414635,0.0,Indifferent,0,Indifferent,0
1800176478E,227791,120.0054588923994,1,Indifferent,0,0,0
2002674422C,56518,1800.9039983863854,0.0,Yes,0,0,0
526743D,7295,1802.7644339760204,1,Yes,1,0,0
394643C,36267,11101.909181854904,0.0,Yes,1,0,0
2001311162C,496614,300.13486461776273,1,Indifferent,0,0,0
2002276319E,30081,1499.655597219516,0.0,Indifferent,0,0,0
